Check,URL,Item,Item_JP
Skip,A11: Colorful Button (L3),"On mouse out, arcs revert back to original position",マウスアウト時にアークが元の位置に戻る
Skip,A11: Colorful Button (L3),"On mouse out, four color bars move out from bottom to top left to right",マウスアウト時に4つのカラーバーが下から上へ左から右へ移動して消える
Skip,A11: Colorful Button (L3),The four color bars do not cover the text on the button,4つのカラーバーがボタン上のテキストを覆わない
Skip,A12: Typing (L1),Typing animation and deletion animation runs correctly,タイピングアニメーションと削除アニメーションが正しく動作
Skip,A12: Typing (L1),Animation loops continuously,アニメーションが連続でループする
Skip,A12: Typing (L1),Uses the provided texts array without modification,提供されたtexts配列を変更せずに使用
OK,A13: Drip (L2),Looping drip effect implemented using only HTML and CSS,HTMLとCSSのみでループするドリップエフェクトを実装
OK,A13: Drip (L2),Effect matches the reference video,エフェクトがリファレンスビデオと一致
Skip,A14: Ripple Card (L2),Ripple effect appears from the direction the mouse enters the card,マウスがカードに入る方向からリップルエフェクトが表示される
Skip,A14: Ripple Card (L2),Only HTML and CSS were used. Effect matches the video,HTMLとCSSのみを使用。エフェクトがビデオと一致
Skip,A15: Olympics Games (L1),All five circles are present,5つの円すべてが存在する
Skip,A15: Olympics Games (L1),"Correct colours used (Blue: #0081C8, Black: #000, Red: #EE334E, Yellow: #FCB131, Green: #00A651)","正しい色を使用（Blue: #0081C8, Black: #000, Red: #EE334E, Yellow: #FCB131, Green: #00A651）"
Skip,A15: Olympics Games (L1),The proportion is maintained,プロポーションが維持されている
Skip,A15: Olympics Games (L1),"Z-index maintained (yellow over blue, black over yellow and green, green over red)","z-indexが維持されている（yellowがblueの上、blackがyellowとgreenの上、greenがredの上）"
Skip,A16: 3D Flip Card (L3),Front of card is similar to provided sample,カードの表面が提供されたサンプルと類似
Skip,A16: 3D Flip Card (L3),Back of card is similar to provided sample,カードの裏面が提供されたサンプルと類似
Skip,A16: 3D Flip Card (L3),Front has 3D elements of border and text,表面にボーダーとテキストの3D要素がある
Skip,A16: 3D Flip Card (L3),Back has 3D elements of title and button,裏面にタイトルとボタンの3D要素がある
Skip,A17: Cube Rotation (L2),Cube rotates using CSS only (no JS),CSSのみでキューブが回転（JSなし）
Skip,A17: Cube Rotation (L2),All 6 faces are shown at least once,全6面が少なくとも1回表示される
Skip,A17: Cube Rotation (L2),Cube rotates in requested sequence: 1-clock-wise / 1 Down,キューブが要求された順序で回転: 1-時計回り / 1 下
Skip,A17: Cube Rotation (L2),"Faces match requested colours (Red front/back, Yellow left/right, Green top/bottom)","面が要求された色と一致（Red 前/後、Yellow 左/右、Green 上/下）"
Skip,A18: Carousel (L2),Carousel area implemented using provided images,提供された画像を使用してカルーセルエリアを実装
Skip,A18: Carousel (L2),Clickable buttons at bottom center that control slides with style changes,スライドを操作するクリック可能なボタンが下部中央にあり、スタイルが変化する
Skip,A18: Carousel (L2),Clicking button moves to corresponding slide order,ボタンクリックで対応するスライド順に移動
Skip,A18: Carousel (L2),Arrow keys move slides left/right (no left on first image and no right on last),矢印キーでスライドを左右に移動（最初の画像では左不可、最後の画像では右不可）
Skip,A19: Flag Animation (L3),The French flag provided was used,提供されたフランス国旗が使用された
Skip,A19: Flag Animation (L3),All parts of the flag are animated seamlessly and naturally,フラグの全パーツがシームレスかつ自然にアニメーション
Skip,A19: Flag Animation (L3),The animation effect continues indefinitely,アニメーションエフェクトが無限に継続
Skip,A20: CSS Line Chart (L2),Chart area with lines and points implemented,ラインとポイントを持つチャートエリアを実装
Skip,A20: CSS Line Chart (L2),"Initially, lines and dots are located at the bottom","初期状態では、ラインとドットが下部に位置する"
Skip,A20: CSS Line Chart (L2),"On hover, lines and strokes rise from the bottom as shown in video",ホバー時にラインとストロークがビデオのように下から上昇
Skip,A20: CSS Line Chart (L2),"On hover, all items rise to specified heights (65%, 25%, 85%, 40%)","ホバー時に全アイテムが指定の高さに上昇（65%, 25%, 85%, 40%）"
Skip,A20: CSS Line Chart (L2),Point is located exactly where the line bends,ポイントがラインの曲がる位置に正確に配置
Skip,A21: 3D Button (L1),Animation matches the sample video,アニメーションがサンプルビデオと一致
Skip,A21: 3D Button (L1),Text changes on hover,ホバー時にテキストが変化
OK,A22: CSS Bar Chart (L1),Bar graph area is displayed and initial screen is blank,バーグラフエリアが表示され初期画面は空白
OK,A22: CSS Bar Chart (L1),"On hover, bars move up in order from the bottom",ホバー時にバーが下から順に上昇
OK,A22: CSS Bar Chart (L1),"On hover, bars go up sequentially starting from the left",ホバー時にバーが左から順に上昇
Skip,A23: Scroll Animation (L2),Section 1 functions implemented as shown in video,セクション1の機能がビデオの通りに実装
Skip,A23: Scroll Animation (L2),Section 2 functions implemented as shown in video,セクション2の機能がビデオの通りに実装
Skip,A23: Scroll Animation (L2),Section 3 functions implemented as shown in video,セクション3の機能がビデオの通りに実装
Skip,A23: Scroll Animation (L2),Implemented by only modifying animation.css,animation.cssの変更のみで実装
Skip,A24: Loading Animation (L2),"Two X-axis and Y-axis bars present, as shown in image",画像の通りX軸とY軸の2つのバーが存在
Skip,A24: Loading Animation (L2),Z-index and animation effect similar to provided video,z-indexとアニメーションエフェクトが提供されたビデオと類似
Skip,A24: Loading Animation (L2),The animation continues indefinitely,アニメーションが無限に継続
Skip,A25: CSS Pie Chart (L1),Pie graph area displayed and initial screen is blank (except immediately after first loading),パイグラフエリアが表示され初期画面は空白（初回ロード直後を除く）
Skip,A25: CSS Pie Chart (L1),"On hover, chart appears clockwise; on mouse leave, disappears counterclockwise","ホバー時にチャートが時計回りに表示、マウス離脱時に反時計回りに消える"
Skip,A25: CSS Pie Chart (L1),Appearance of chart matches provided video,チャートの外観が提供されたビデオと一致
Skip,A25: CSS Pie Chart (L1),"Chart item values are 45%, 25%, 30%","チャートアイテムの値が45%, 25%, 30%"
Skip,A26: Dashboard Layout (L2),No scrolling except for list scroll inside the section,セクション内のリストスクロール以外にスクロールがない
Skip,A26: Dashboard Layout (L2),List content does not exceed the section and scrolls,リストコンテンツがセクションを超えずスクロールする
Skip,A26: Dashboard Layout (L2),Implemented by only modifying your-work.css,your-work.cssの変更のみで実装
Skip,A27: Accessibility (L2),Fixed the minimum and maximum sizes of the viewport,viewportの最小・最大サイズを修正
Skip,A27: Accessibility (L2),Used the button tag,buttonタグを使用
Skip,A27: Accessibility (L2),Fixed accessibility issues with image tags,imageタグのアクセシビリティ問題を修正
Skip,A27: Accessibility (L2),Modified visibility and hover style of A tag,Aタグのvisibilityとホバースタイルを修正
Skip,A27: Accessibility (L2),Contrast accessibility issues fixed,コントラストのアクセシビリティ問題を修正
Skip,A27: Accessibility (L2),Files placed in the resolve folder,ファイルをresolveフォルダに配置
Skip,B1: Image Cropper (L3),Images uploaded through drag and drop; canvas size unchanged by image size,ドラッグ&ドロップで画像をアップロード。キャンバスサイズは画像サイズで変更されない
Skip,B1: Image Cropper (L3),Crop canvas shows image with darken filter as background and crop window without filters,クロップキャンバスがdarkenフィルタの背景画像とフィルタなしのクロップウィンドウを表示
Skip,B1: Image Cropper (L3),Crop window movable with mouse; size adjustable through range inputs; cannot exceed image,クロップウィンドウがマウスで移動可能。rangeインプットでサイズ調整可能。画像を超えない
Skip,B1: Image Cropper (L3),Download button functional; downloaded image follows original size,ダウンロードボタンが機能。ダウンロード画像が元のサイズに従う
Skip,B2: Color Picker (L3),Images uploaded through drag and drop; canvas size unchanged by image size,ドラッグ&ドロップで画像をアップロード。キャンバスサイズは画像サイズで変更されない
Skip,B2: Color Picker (L3),Canvas has cursor showing current color (pixel) on hover,キャンバスにホバー時の現在の色（ピクセル）を表示するカーソルがある
Skip,B2: Color Picker (L3),"On click, current color displayed in bottom output area with hex code","クリック時に現在の色が下部出力エリアにhexコードと共に表示"
Skip,B2: Color Picker (L3),Copy color button copies color to clipboard,色コピーボタンがクリップボードに色をコピー
Skip,B3: Fixed-Column Table (L2),"Table 100% width, 15 columns with fixed 100px width","テーブル100%幅、15列の固定100px幅"
Skip,B3: Fixed-Column Table (L2),"On overflow, first, second and last column remain fixed and do not move on scroll","オーバーフロー時、最初、2番目、最後の列が固定されスクロールで動かない"
Skip,B4: 3D Gallery (L2),Each image has a mirrored shadow image at its bottom. HTML not modified; only CSS,各画像の下にミラーシャドウ画像がある。HTMLは変更なし。CSSのみ
Skip,B4: 3D Gallery (L2),Hovered image enlarges; other images tilt towards hovered image,ホバーされた画像が拡大。他の画像がホバーされた画像に向かって傾く
Skip,B5: Music Waves (L2),Only one music can be played at the same time,同時に1つの音楽のみ再生可能
Skip,B5: Music Waves (L2),Each music file can be played by its corresponding button,各音楽ファイルが対応するボタンで再生可能
Skip,B5: Music Waves (L2),"Fluctuation composed of many lines, surrounding a black circle",多くのラインで構成された変動が黒い円を囲んでいる
Skip,B5: Music Waves (L2),"Each line moves up and down from the black circle position, based on music melody",各ラインが音楽のメロディに基づいて黒い円の位置から上下に移動
Skip,B6: Direction Modal (L2),"Modal entry: flies in from button position with fade-in and scale-in. Only edit competitor.css and main.js","モーダル表示: ボタン位置からフェードインとスケールインで飛び込む。competitor.cssとmain.jsのみ編集"
Skip,B6: Direction Modal (L2),"Modal leave: flies back to button with fade-out and scale-out on background click or Close button","モーダル消去: 背景クリックまたはCloseボタンでフェードアウトとスケールアウトでボタンに戻る"
Skip,B7: Pixel Circle (L2),Canvas composed of a 61x61 grid of squares,キャンバスが61x61のグリッドで構成
Skip,B7: Pixel Circle (L2),Circle shape correctly generated using radius input field,半径入力フィールドで円の形状が正しく生成される
Skip,B7: Pixel Circle (L2),"When radius is 30, circle fills the entire canvas","半径が30の場合、円がキャンバス全体を埋める"
Skip,B8: Fusion (L1),All color combination conditions and alert results are displayed correctly,すべての色の組み合わせ条件とアラート結果が正しく表示される
OK,B9: Image Compare (L2),"Splitter left is before.jpg, right is after.jpg. No HTML elements added or removed","スプリッターの左がbefore.jpg、右がafter.jpg。HTML要素の追加・削除なし"
OK,B9: Image Compare (L2),Splitter movable by dragging or clicking within container,スプリッターがコンテナ内でドラッグまたはクリックで移動可能
OK,B9: Image Compare (L2),Image effect matches compare.mp4 video,画像エフェクトがcompare.mp4ビデオと一致
Skip,B10: Countdown Clock (L3),Countdown seconds number display working in center of circle,カウントダウン秒数が円の中央に表示
Skip,B10: Countdown Clock (L3),Countdown circular progress bar working,カウントダウン円形プログレスバーが動作
Skip,B10: Countdown Clock (L3),Countdown progress bar smooth (not jumping),カウントダウンプログレスバーがスムーズ（ジャンプしない）
Skip,B10: Countdown Clock (L3),Color changes green > orange at 10sec > red at 5sec,色がgreen > 10秒でorange > 5秒でredに変化
Skip,B10: Countdown Clock (L3),Countdown duration changeable in one place is working,カウントダウン時間が1箇所で変更可能
Skip,B10: Countdown Clock (L3),"Using plain HTML, CSS, JS","プレーンHTML, CSS, JSを使用"
Skip,B11: Dynamic Content (L2),"Tabular display of dynamic values for title/topic pro, con, abs from JSON","JSONからのtitle/topic pro, con, absの動的値をテーブル表示"
Skip,B11: Dynamic Content (L2),Percentages and total votes calculated from JSON data and shown,JSONデータからパーセンテージと総投票数を計算して表示
Skip,B11: Dynamic Content (L2),Majority highlighted in bold and green,多数派が太字とグリーンでハイライト
Skip,B11: Dynamic Content (L2),Working loaded from local file and via webserver,ローカルファイルとウェブサーバー経由の両方で動作
Skip,B12: Blur Slider (L2),The slider can be dragged,スライダーがドラッグ可能
Skip,B12: Blur Slider (L2),Blur effect changes progressively as slider is moved,スライダー移動に応じてブラーエフェクトが段階的に変化
Skip,B12: Blur Slider (L2),Slider interaction is smooth and responsive,スライダーの操作がスムーズでレスポンシブ
Skip,B12: Blur Slider (L2),JavaScript only; provided CSS was not altered or additional CSS created,JavaScriptのみ。提供されたCSSは変更されていないし追加CSSも作成されていない
Skip,B13: Random Circles (L2),All five circles displayed on page load,ページロード時に5つの円すべてが表示
Skip,B13: Random Circles (L2),Circles have different dimensions,円が異なるサイズを持つ
Skip,B13: Random Circles (L2),Circles are not overlapping after page reload,ページリロード後に円が重なっていない
Skip,B13: Random Circles (L2),Circles are responsive — fit in new window size on resize,円がレスポンシブ — リサイズ時に新しいウィンドウサイズに収まる
Skip,B14: Gradient Selector (L3),"12 randomized colour buttons on each side; clicking inserts colour into input",各サイドに12個のランダム色ボタン。クリックで色がインプットに挿入される
Skip,B14: Gradient Selector (L3),12 colour buttons organized in 4x3 grid above input fields,12個の色ボタンがインプットフィールドの上に4x3グリッドで配置
Skip,B14: Gradient Selector (L3),Input fields correctly update gradient colour when valid HEX entered,有効なHEX入力時にインプットフィールドがグラデーション色を正しく更新
Skip,B14: Gradient Selector (L3),Square gradient updates dynamically without page refresh,四角のグラデーションがページリフレッシュなしで動的に更新
Skip,B15: String Reverser JS (L1),Form correctly submits the input string,フォームが入力文字列を正しく送信
Skip,B15: String Reverser JS (L1),Input word converted to upper case,入力された単語が大文字に変換される
Skip,B15: String Reverser JS (L1),Inputted word is reversed,入力された単語が反転される
Skip,B15: String Reverser JS (L1),Processed string updated dynamically without page refresh,処理された文字列がページリフレッシュなしで動的に更新
Skip,B16: Fortune Wheel (L3),There are 12 slices on the wheel,ホイールに12個のスライスがある
Skip,B16: Fortune Wheel (L3),Slices are behind the black pin,スライスが黒いピンの後ろにある
Skip,B16: Fortune Wheel (L3),Wheel spins when spin button is clicked,スピンボタンクリック時にホイールが回転
Skip,B16: Fortune Wheel (L3),Spin is about 5-6 seconds,スピンが約5-6秒
Skip,B17: Tabs (L2),"All four tabs present with correct labels and colours (about, history, objectives, impact)","4つのタブすべてが正しいラベルと色で存在（about, history, objectives, impact）"
Skip,B17: Tabs (L2),All 4 tabs clickable and work as intended,4つのタブすべてがクリック可能で意図通りに動作
Skip,B17: Tabs (L2),All text correctly displayed in respective tabs (title and content),すべてのテキストが各タブに正しく表示（タイトルとコンテンツ）
Skip,B17: Tabs (L2),Learn More button has hover effect,Learn Moreボタンにホバーエフェクトがある
Skip,B18: Rotating Gallery (L2),Images rotate in container when Next/Previous button clicked,Next/Previousボタンクリック時にコンテナ内の画像が回転
Skip,B18: Rotating Gallery (L2),CSS file not modified,CSSファイルが変更されていない
Skip,B19: Show/Hide Password (L2),Password show/hide functionality implemented,パスワードの表示/非表示機能を実装
Skip,B20: Accordion (L3),Clicking section header displays corresponding content,セクションヘッダークリックで対応するコンテンツが表示
Skip,B20: Accordion (L3),Uses provided CSS file,提供されたCSSファイルを使用
Skip,B21: Layer Paint Board (L3),"Paint board showing all layers, layer list, and color picker","全レイヤーを表示するペイントボード、レイヤーリスト、カラーピッカー"
Skip,B21: Layer Paint Board (L3),"Can change order of layers, add, delete, and select layers","レイヤーの順序変更、追加、削除、選択が可能"
Skip,B21: Layer Paint Board (L3),Drawing on selected layer with chosen color works,選択されたレイヤーに選択した色で描画が動作
Skip,B21: Layer Paint Board (L3),Drawing on each layer is displayed,各レイヤーの描画が表示される
Skip,B21: Layer Paint Board (L3),Any changes are immediately reflected in the layer,変更がすぐにレイヤーに反映される
Skip,B22: Excel Table (L1),View and enter data for 600 cells (20 columns x 30 rows) on one screen,1画面で600セル（20列x30行）のデータを表示・入力
Skip,B22: Excel Table (L1),Scroll to check values up to column XFD and row 1,048,576,列XFDと行1048576までスクロールして値を確認
Skip,B22: Excel Table (L1),Data in entered cells remains visible after scrolling off screen,入力されたセルのデータが画面外にスクロールしても表示される
Skip,B22: Excel Table (L1),"All operations executed immediately without delay (data entry, scrolling)","すべての操作が遅延なく即座に実行（データ入力、スクロール）"
Skip,B23: 3D Wave Words (L1),40x40 = 1600 random words of uppercase/lowercase letters and numbers,40x40 = 1600個の大文字/小文字英字と数字のランダムワード
Skip,B23: 3D Wave Words (L1),"Each word moves up and down in 3D wave pattern along Z-axis, repeating infinitely",各ワードがZ軸に沿って3Dウェーブパターンで上下に移動し、無限に繰り返す
Skip,B23: 3D Wave Words (L1),Completed by writing code only in provided script.js,提供されたscript.jsにコードを書くのみで完成
Skip,B24: Book List (L2),Book can be added to the list,本をリストに追加できる
Skip,B24: Book List (L2),CSS file not modified,CSSファイルが変更されていない
Skip,B25: Page Transition (L3),Page transition animation implemented similar to provided video,提供されたビデオと類似のページ遷移アニメーションを実装
Skip,B25: Page Transition (L3),URL changes with page transition; page persists on refresh,ページ遷移でURLが変更。リフレッシュ時にページが維持される
Skip,B25: Page Transition (L3),Uses provided file; HTML not modified,提供されたファイルを使用。HTMLは変更されていない
Skip,B26: Digital Display (L2),Form to input text and slide area exist,テキスト入力フォームとスライドエリアが存在
Skip,B26: Digital Display (L2),Input text displayed in dot form in slide area (including emojis),入力テキストがスライドエリアにドット形式で表示（絵文字含む）
Skip,B26: Digital Display (L2),Dots are a single color and have a perfect dot shape,ドットが単一色で完全なドット形状
Skip,B26: Digital Display (L2),Dot-form text slides right to left in infinite loop,ドット形式テキストが右から左へ無限ループでスライド
Skip,B27: Sliding Puzzle (L1),4x4 puzzle displayed with bottom right piece missing,4x4パズルが表示され右下のピースが欠落
Skip,B27: Sliding Puzzle (L1),Clicking adjacent piece moves it to empty spot,隣接するピースをクリックすると空きスポットに移動
Skip,B27: Sliding Puzzle (L1),Movement occurs with sliding animation,移動がスライドアニメーションで発生
Skip,B27: Sliding Puzzle (L1),"No movement if no empty spot adjacent to clicked piece",クリックされたピースに隣接する空きスポットがない場合は移動しない
Skip,B28: Color Wheel (L2),"Circular color wheel, brightness adjuster, and hex result value displayed","円形カラーホイール、明度調整器、hex結果値が表示"
Skip,B28: Color Wheel (L2),Clicking color wheel shows selected color with marker,カラーホイールクリックで選択された色がマーカーと共に表示
Skip,B28: Color Wheel (L2),Brightness adjuster reflected in color wheel and hex value,明度調整がカラーホイールとhex値に反映
Skip,B28: Color Wheel (L2),Hex result value changes instantly to correct value on color/brightness change,色/明度変更時にhex結果値が即座に正しい値に変更
Skip,B29: Firefly (L2),125 cubes arranged in cubic form within 3D grid,125個のキューブが3Dグリッド内に立方体形式で配置
Skip,B29: Firefly (L2),Cubes light up sequentially from innermost to outermost,キューブが最内部から最外部へ順に点灯
Skip,B29: Firefly (L2),Cube set rotatable by mouse dragging,マウスドラッグでキューブセットを回転可能
Skip,B29: Firefly (L2),Zoom in/out towards center using scroll wheel,スクロールホイールで中心に向かってズームイン/アウト
Skip,B30: Upload Progressbar (L1),Clicking upload button sends file to upload.php,アップロードボタンクリックでファイルをupload.phpに送信
Skip,B30: Upload Progressbar (L1),Progress bar filled when upload complete,アップロード完了時にプログレスバーが満杯
Skip,B30: Upload Progressbar (L1),"Upload progress displayed as progress bar, reflecting actual network conditions",アップロード進捗がプログレスバーとして表示、実際のネットワーク状況を反映
Skip,B31: Fractal Line (L1),"Canvas area, number input form, and button exist","キャンバスエリア、数値入力フォーム、ボタンが存在"
Skip,B31: Fractal Line (L1),Fractal image drawn after entering iterations and clicking button,イテレーション数を入力しボタンクリック後にフラクタル画像が描画
Skip,B31: Fractal Line (L1),Drawn image has same fractal structure as shown in video,描画された画像がビデオと同じフラクタル構造を持つ
Skip,B32: Pointer Tail (L2),Default mouse cursor hidden and replaced with red cursor,デフォルトマウスカーソルが非表示になり赤いカーソルに置換
Skip,B32: Pointer Tail (L2),Cursor circle becomes smaller when mouse is moved,マウス移動時にカーソルの円が小さくなる
Skip,B32: Pointer Tail (L2),Tail follows previous path of cursor when mouse is moved,マウス移動時にテールがカーソルの前のパスを追従
Skip,B32: Pointer Tail (L2),"Faster mouse movement, longer tail becomes",マウス移動が速いほどテールが長くなる
Skip,B33: Shared Animation Video (L3),8 videos played in 16/9 proportion on list page,リストページで8本のビデオが16/9比率で再生
Skip,B33: Shared Animation Video (L3),Clicking video on list page: surrounding area blurs and video goes fullscreen with transition,リストページでビデオクリック時: 周囲エリアがブラーしビデオがトランジション付きでフルスクリーンに
Skip,B33: Shared Animation Video (L3),Video does not reset or blink when switching to fullscreen,フルスクリーン切替時にビデオがリセットやブリンクしない
Skip,B33: Shared Animation Video (L3),"Refreshing in fullscreen mode, video plays in fullscreen","フルスクリーンモードでリフレッシュ時、ビデオがフルスクリーンで再生"
Skip,B33: Shared Animation Video (L3),"Clicking fullscreen video returns to list page, all videos play","フルスクリーンビデオクリックでリストページに戻り、全ビデオが再生"
Skip,B34: Async Calculation (L1),Used provided HTML and CSS files,提供されたHTMLとCSSファイルを使用
Skip,B34: Async Calculation (L1),Clicking Calculation produces accurate result,Calculationクリックで正確な結果を生成
Skip,B34: Async Calculation (L1),Progress increases in proportion to calculation time during calculation,計算中にprogressが計算時間に比例して増加
Skip,B34: Async Calculation (L1),"Change background button works during calculation (UI not blocked)",計算中にchange backgroundボタンが動作（UIがブロックされない）
OK,B35: Fractal Triangle (L1),"Canvas area, number input form, and button exist","キャンバスエリア、数値入力フォーム、ボタンが存在"
OK,B35: Fractal Triangle (L1),Fractal image drawn after entering iterations and clicking button,イテレーション数を入力しボタンクリック後にフラクタル画像が描画
OK,B35: Fractal Triangle (L1),Drawn image has equilateral triangle fractal structure as shown in video,描画された画像がビデオと同じ正三角形フラクタル構造を持つ
Skip,B36: Build Option (L2),Source files in correct location before building,ビルド前にソースファイルが正しい場所にある
Skip,B36: Build Option (L2),Build output in correct location and checkable through browser (page1.html),ビルド出力が正しい場所にありブラウザで確認可能（page1.html）
Skip,B36: Build Option (L2),"JS and CSS imported correctly, navigation between page1.html and page2.html works","JSとCSSが正しくインポートされ、page1.htmlとpage2.html間のナビゲーションが動作"
Skip,B37: Pixel Art (L3),Pixel art board size 20x20 with visible and distinct cells,20x20サイズのピクセルアートボードで各セルが可視で区別可能
Skip,B37: Pixel Art (L3),Each pixel can be changed to any color or erased,各ピクセルを任意の色に変更または消去可能
Skip,B37: Pixel Art (L3),Copy button copies box-shadow CSS code to clipboard,Copyボタンがbox-shadow CSSコードをクリップボードにコピー
Skip,B37: Pixel Art (L3),Copied code has same format as specified (spacing doesn't matter),コピーされたコードが指定された形式と同じ（スペースは問わない）
Skip,B38: Masonry Layout (L2),Gallery layout with 4 columns displayed,4列のギャラリーレイアウトが表示
Skip,B38: Masonry Layout (L2),100 images arranged in order (placed in smallest height column first; same height fills from left),100画像が順に配置（最小高さの列に優先配置。同じ高さの場合は左から）
Skip,B38: Masonry Layout (L2),"When last image visible, next ten images loaded",最後の画像が見えたら次の10画像がロードされる
Skip,B38: Masonry Layout (L2),"If last image still visible after loading, next ten loaded immediately",ロード後も最後の画像がまだ見える場合、次の10画像が即座にロード
OK,B39: Multiple Counters (L1),Can add a counter,カウンターを追加できる
OK,B39: Multiple Counters (L1),Can add multiple counters,複数のカウンターを追加できる
OK,B39: Multiple Counters (L1),Each counter can independently increase and decrease,各カウンターが独立して増減可能
Skip,B39: Multiple Counters (L1),UI adjusted with user experience in mind,UIがユーザーエクスペリエンスを考慮して調整されている
Skip,B40: Image Editor (L2),Brightness works correctly,明るさが正しく動作
Skip,B40: Image Editor (L2),Contrast works correctly,コントラストが正しく動作
Skip,B40: Image Editor (L2),Hue works correctly,色相が正しく動作
Skip,B40: Image Editor (L2),Can be adjusted using numeric input,数値入力で調整可能
Skip,B41: Change Date Format (L1),Select changes days based on the month,月に基づいて日数のセレクトが変化
Skip,B41: Change Date Format (L1),Results update automatically when selection changes,選択変更時に結果が自動更新
